,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
18760,101441,2025,1,1,0.0007301772,0.999213,5.6876994e-05,2.1216238e-09
18761,101442,2025,1,1,0.00093442685,0.99905926,6.333106e-06,1.7042111e-09
18762,101444,2025,1,1,0.0026893981,0.9973029,7.66868e-06,4.3407846e-09
18763,101445,2025,1,1,0.010522144,0.9894741,3.7491154e-06,7.517964e-09
18764,101446,2025,1,1,0.00052738376,0.9994351,3.750177e-05,2.7224605e-09
18765,101447,2025,1,1,0.00050894823,0.9993755,0.000115519026,1.9815325e-09
18766,101448,2025,1,1,0.00057976606,0.9993868,3.342983e-05,3.1286276e-09
18767,101449,2025,1,1,0.002008936,0.9979665,2.4613175e-05,1.10867426e-10
18768,101450,2025,1,1,0.0052506956,0.9947431,6.165762e-06,5.3077088e-11
18769,101451,2025,1,1,0.000608472,0.9993673,2.4201716e-05,2.2518323e-09
18770,101452,2025,1,1,0.00068868697,0.9992754,3.598314e-05,2.014621e-09
18771,101453,2025,1,1,0.0022383737,0.99773693,2.465355e-05,2.9862715e-10
18772,101454,2025,1,1,0.07746358,0.9225362,1.746128e-07,1.2484583e-11
18773,101455,2025,0,1,0.28213587,0.7178641,1.3966533e-08,6.4385385e-12
18774,101456,2025,0,1,0.057430636,0.94256926,1.7859996e-07,8.499178e-12
18775,101457,2025,1,1,0.020462148,0.97953725,6.4779454e-07,1.0719422e-11
18776,101458,2025,1,1,0.0076772887,0.9923195,3.1572526e-06,3.2056732e-11
18777,101459,2025,1,1,0.0020016984,0.997969,2.9291527e-05,2.9972042e-10
18778,101460,2025,1,1,0.0018938204,0.99807894,2.7195032e-05,1.5420953e-10
18779,101461,2025,1,1,0.0030740814,0.9969181,7.795607e-06,2.3250865e-11
18780,101462,2025,1,1,0.0014868324,0.99847347,3.969782e-05,6.481587e-11
18781,101463,2025,1,1,0.00034704935,0.9990614,0.0005916135,1.2557011e-09
18782,101464,2025,1,1,0.0008904176,0.99906904,4.059636e-05,4.968915e-09
18783,101465,2025,1,1,0.006648348,0.9932545,9.716532e-05,2.6762422e-08
18784,101466,2025,1,1,0.008237709,0.95137733,0.04038467,2.2238642e-07
18785,101468,2025,1,1,0.00032688965,0.9923159,0.00735715,6.132937e-09
18786,101469,2025,1,1,0.0003930235,0.9947408,0.0048662806,2.1075029e-10
18787,101470,2025,1,1,0.0005273839,0.9988741,0.00059841346,2.459296e-10
18788,101471,2025,1,1,0.0014461246,0.9985104,4.3454937e-05,3.8739324e-11
