Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao_1,UsoeOcupacao_2,UsoeOcupacao_3,EconomiaUrbana,Inovacao_1,Inovacao_2,MobilidadeUrbana_1,MobilidadeUrbana_2,MobilidadeUrbana_3,Usolocal_1,Usolocal_2,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
54,001057,2025,59.1737091100621,102096.0,1,-4809.307088774225,396.6630857106672,-56.13420106424485,-3088.5677632019624,7705.541186040466,-1539.3312744333975,-22.093113683269777,-80638.18969049904,15852.230595826515,15212.63065136559,382.8159631950759,-2003.4659538468927,-60.25921187221855,001057,2025,1,1,0.00088209397,0.999087,1.1785887e-05,1.9217256e-05
55,001058,2025,199.695952806301,127575.0,1,-4860.266603594169,531.1314781326055,-57.9374317485694,-2963.476100311473,7705.541186040466,-1624.9594893761582,40.104318514641655,-82046.63126337001,15958.091098276787,14658.714704453394,517.8121649669308,-1993.8528467221813,-60.770178339288336,001058,2025,1,1,0.0004507044,0.99950624,3.845592e-08,4.296265e-05
56,001061,2025,7.50971055060987,46488.0,1,-5012.715887823709,159.40000836077547,-56.19970109811348,-3056.9533215300207,-1739.834844519238,-1578.9820027360663,-22.407593353447023,-118855.4201017026,23920.52681091064,5334.274862217479,145.81363575434952,-1986.867294947183,-61.72545628456372,001061,2025,1,1,0.0002303489,0.99320257,0.0017864531,0.0047806366
57,001062,2025,7.50971055060987,77436.0,1,-5089.501244116654,99.54025613463506,-55.9134171008086,-3060.9661996244768,-1739.834844519238,-1589.3336750514518,-22.489695010462643,-118855.4201017026,23920.52681091064,5334.274862217479,85.91313743636769,-2003.0237837925476,-61.59557475567648,001062,2025,1,1,0.00016919016,0.94115365,0.0041785347,0.05449854
58,001063,2025,7.50971055060987,103491.0,3,-5155.749485792415,72.55712982782137,-55.84859329766902,-3059.664634333267,-1739.834844519238,-1583.4163383544726,-22.442763158956943,-118855.4201017026,23920.52681091064,5334.274862217479,58.96964907365432,-2009.7840272410608,-61.7321949251365,001063,2025,3,3,0.00013779785,0.36779892,0.0067338427,0.62532943
59,001064,2025,7.50971055060987,617220.0,3,-5124.260784335484,864.519492926644,-56.74002214980045,-3058.7896452870973,-1739.834844519238,-1553.1315264888822,-22.202566873678883,-117616.39253474204,23680.72616298271,5540.923444467882,850.8273407729823,-1990.8538027496684,-59.341165352693146,001064,2025,3,1,0.00018132084,0.7977924,0.024716228,0.17731005
60,001065,2025,17.1808354217121,92280.0,1,-4923.307784903311,263.0961036486604,-55.95927381823852,-2820.376468219728,-1739.834844519238,-1395.444253052059,-20.951910357031156,-117526.64514518714,23668.65595231548,5555.288792316998,250.95527657546225,-1974.980582395512,-61.73148129036239,001065,2025,1,2,0.00022994088,0.32683194,0.6719813,0.00095685705
61,001066,2025,17.1808354217121,32022.0,1,-5010.189225339758,-37.10175518461982,-55.43916080738675,-2809.790077674699,-1739.834844519238,-1442.9693375756428,-21.3288434814882,-117526.64514518714,23668.65595231548,5555.288792316998,-49.241363485537136,-1947.935202152529,-61.734335829458814,001066,2025,1,1,0.0002865978,0.5373635,0.45260042,0.0097494
62,001067,2025,17.1808354217121,403368.0,1,-4980.183850203566,2021.0213533464332,-64.15185593718134,-2840.7459940376352,-1739.834844519238,-1370.2152965786545,-20.751813303324877,-117526.64514518714,23668.65595231548,5555.288792316998,2008.8497935746889,-1991.6379399401044,-60.5837800340058,001067,2025,1,2,0.00021002715,0.13738148,0.860844,0.0015644396
63,001068,2025,21.6536571314209,83076.0,2,-4850.723788756781,3.621431504171319,-59.56189981826508,-2627.614684852589,-1739.834844519238,-1253.347853365064,-19.82490889148853,-117525.26075241204,23674.27881000849,5554.849420835702,-7.0751439070778375,-2014.1107486921032,-61.56478819930394,001068,2025,2,2,5.017199e-05,0.029747093,0.9702018,9.4215324e-07
64,001069,2025,62.1270772308473,11295.0,2,-4934.288074192622,-22.424642581705186,-58.13691633575505,-2770.1487931804336,-1739.834844519238,-1298.0609286358545,-20.179539279521585,-117526.11674018612,23670.8021251202,5555.121089846864,-34.018530868528465,-2018.5473131888943,-61.69936772552764,001069,2025,2,2,5.614774e-05,0.013888883,0.98603094,2.393164e-05
65,001070,2025,17.1808354217121,138645.0,1,-5096.341548682216,-37.10792523865391,-57.40789791395196,-2836.6271249448737,-1739.834844519238,-1464.1297497968856,-21.49667191090202,-117526.64514518714,23668.65595231548,5555.288792316998,-49.27516221069396,-1972.282256456626,-61.7321949251365,001070,2025,1,1,0.00045521068,0.56092113,0.34007776,0.098545924
66,001071,2025,2.41396934787571,9420.0,1,-4983.997757915737,-6.701776838322807,-62.52949198854618,-2939.9657433086986,-1739.834844519238,-1649.1554244672934,-7.99354395522341,-118854.14264822948,23925.715323316846,5333.869430583585,-19.008438260093875,-2103.384099048455,-61.47314550213612,001071,2025,1,1,0.0003440164,0.9981357,6.3655634e-06,0.0015138837
67,001072,2025,2.41396934787571,86112.0,1,-5047.481964181063,179.16794789543297,-57.60208804673287,-2827.233718669219,-1739.834844519238,-1629.940220059253,13.117713424135395,-118854.14264822948,23925.715323316846,5333.869430583585,166.9884400184581,-2003.104374928893,-61.52001578136024,001072,2025,1,1,0.00025723467,0.99293196,0.00012185907,0.006688926
68,001073,2025,2.41396934787571,51510.0,3,-5109.981728056185,83.18236802370544,-57.59611235368902,-2832.829443238646,-1739.834844519238,-1622.4572608436376,-22.75240630936994,-118854.14264822948,23925.715323316846,5333.869430583585,71.05073323231623,-2016.246221462516,-61.70579043849459,001073,2025,3,1,0.00020278383,0.88956285,0.0008154606,0.10941893
69,001074,2025,25.4552573619626,33915.0,3,-5194.378284352356,68.6306691189458,-56.95586427271294,-2903.119595478352,-1739.834844519238,-1639.546305382087,-1.929086850030533,-118854.55299542686,23924.048654769475,5333.9996644732655,56.03948860810554,-2014.6396754106008,-61.73362219468471,001074,2025,3,3,6.427643e-05,0.10303947,0.00021351536,0.89668274
70,001075,2025,25.4552573619626,1167534.0,3,-5306.70559035076,2555.6053424156435,-65.02892658299902,-2880.6420634396595,-1739.834844519238,-1556.640573684788,-22.230397989324004,-117649.94286088189,23690.909135950656,5534.908008327826,2542.9018231769683,-1985.2127213805013,-60.181488318798365,001075,2025,3,3,0.00047995054,0.0007839716,0.00016639961,0.9985696
71,001076,2025,25.4552573619626,112686.0,3,-5151.375822300426,-36.71032829035965,-56.684631832583065,-2889.247535063148,-1739.834844519238,-1412.705446270107,-21.088813122313077,-117527.0234593977,23667.11938913241,5555.408859741555,-49.30723144886402,-1961.0447533926983,-61.6957995516571,001076,2025,3,2,0.0016083308,0.14724697,0.43697038,0.41417426
72,001077,2025,25.4552573619626,78408.0,1,-5089.75992595901,62.69830366203832,-56.62606044223406,-2907.148688740286,-1739.834844519238,-1339.980681761759,-20.51201514317573,-117527.0234593977,23667.11938913241,5555.408859741555,49.98712888316842,-2008.3133123040311,-61.49663281272427,001077,2025,1,2,0.0005741301,0.044630904,0.94327015,0.011524817
73,001078,2025,2.41396934787571,1323.0,1,-4929.868892224236,-30.674399246063853,-56.91430236050687,-2846.091182880064,-1739.834844519238,-1593.6546197423452,-22.52396548466109,-118854.14264822948,23925.715323316846,5333.869430583585,-42.91219730864068,-2027.4635662493715,-61.38750932924344,001078,2025,1,1,0.0005804193,0.99834156,0.00015023616,0.00092779845
