variavel,cluster_a,cluster_b,n_a,n_b,U,p_raw,p_adj,significativo
Brasileira,0,3,357524,3221,192794308.0,0.0,0.0,True
Brasileira,0,2,357524,5848,550329287.0,0.0,0.0,True
Brasileira,3,2,3221,5848,12205878.0,7.809356105199097e-121,9.371227326238916e-121,True
cr_4_pct,1,0,35757,357523,4795707421.5,0.0,0.0,True
cr_4_pct,1,3,35757,12416,209756177.0,4.2711592401316454e-20,6.406738860197469e-20,True
cr_4_pct,1,2,35757,5848,107448178.5,0.0006626867691529617,0.0006626867691529617,True
cr_4_pct,0,3,357523,12416,2497959520.0,3.663880848388914e-126,7.327761696777828e-126,True
cr_4_pct,0,2,357523,5848,1336214485.0,1.5542311245437224e-294,4.6626933736311676e-294,True
cr_4_pct,3,2,12416,5848,38980641.0,5.752826200807423e-16,6.903391440968907e-16,True
Terreno_pct,1,0,35757,357524,4614839564.0,0.0,0.0,True
Terreno_pct,1,3,35757,12724,217234611.5,1.75499595347105e-17,1.75499595347105e-17,True
Terreno_pct,1,2,35757,5848,112901466.0,8.66858720900156e-29,1.0402304650801871e-28,True
Terreno_pct,0,3,357524,12724,2742529526.0,0.0,0.0,True
Terreno_pct,0,2,357524,5848,1410713701.0,0.0,0.0,True
Terreno_pct,3,2,12724,5848,41564795.0,1.7322248556723887e-48,2.598337283508583e-48,True
ResidencialPopularHor,1,0,35757,357524,3706309232.0,0.0,0.0,True
ResidencialPopularHor,1,3,35757,12724,223558646.0,0.0012192438146223813,0.0012192438146223813,True
ResidencialPopularHor,1,2,35757,5848,120050909.5,8.571209759744866e-94,1.28568146396173e-93,True
ResidencialPopularHor,0,3,357524,12724,3145451197.0,0.0,0.0,True
ResidencialPopularHor,0,2,357524,5848,1616316740.5,0.0,0.0,True
ResidencialPopularHor,3,2,12724,5848,43039420.0,3.627309140061115e-87,4.352770968073338e-87,True
30a39anos,1,0,35757,357524,8385453844.5,0.0,0.0,True
30a39anos,1,3,35757,3221,35220833.0,8.626675324632854e-293,1.2940012986949283e-292,True
30a39anos,1,2,35757,5848,89750951.5,1.0485630921010704e-67,1.0485630921010704e-67,True
30a39anos,0,3,357524,3221,197726545.0,0.0,0.0,True
30a39anos,0,2,357524,5848,557105771.0,0.0,0.0,True
30a39anos,3,2,3221,5848,12036751.5,7.523172366841476e-107,9.02780684020977e-107,True
DestinoMotivoOutros,1,0,35757,357524,6258064797.5,6.029262588964122e-11,9.043893883446183e-11,True
DestinoMotivoOutros,1,3,35757,12724,204459575.0,1.0802652041212638e-64,6.481591224727583e-64,True
DestinoMotivoOutros,1,2,35757,5848,107179417.0,0.0020422224556600407,0.0020422224556600407,True
DestinoMotivoOutros,0,3,357524,12724,2096150134.5,2.9794205269519205e-51,8.938261580855761e-51,True
DestinoMotivoOutros,0,2,357524,5848,1093540317.0,1.4471096681553363e-09,1.7365316017864035e-09,True
DestinoMotivoOutros,3,2,12724,5848,41929155.0,4.689136677915776e-44,9.378273355831551e-44,True
CA,1,0,35757,357524,8388166368.5,0.0,0.0,True
CA,1,3,35757,12724,138016142.0,0.0,0.0,True
CA,1,2,35757,5848,99946863.5,6.296802224715587e-08,6.296802224715587e-08,True
CA,0,3,357524,12724,829116517.0,0.0,0.0,True
CA,0,2,357524,5848,667917398.5,0.0,0.0,True
CA,3,2,12724,5848,51234848.0,0.0,0.0,True
ResidencialMedioPadraoVert,1,0,35757,357524,7902674974.0,0.0,0.0,True
