Unnamed: 0,SQ,Ano,densidade_hec,ConcentracaoBOs,EstagioClusterizacao,Startups,UsoeOcupacao,EconomiaUrbana,Inovacao,MobilidadeUrbana,Usolocal,DinamicaOcupacao,SQ,Ano,EstagioClusterizacao,Predicted_Class,Class_0_Prob,Class_1_Prob,Class_2_Prob,Class_3_Prob
30,001033,2025,38.0055285141636,5652.0,1,-4699.640191371649,-37.04716513583606,-1739.834844519238,-1197.1623490890563,-117526.93829423256,-49.54140770823864,-61.73304787691758,001033,2025,1,1,0.0026318338,0.9876462,0.009721885,1.2017966e-09
31,001034,2025,54.3093253941102,31590.0,1,-4585.767812788925,51.82626528224386,-1739.834844519238,-1072.8971248282428,-117525.56405740153,40.73911811687078,-61.48548401648896,001034,2025,1,1,0.0055131805,0.9942397,0.00024711166,7.878417e-12
32,001035,2025,103.886384945535,23760.0,1,-4567.610563851795,-36.394040542267255,-1739.834844519238,-1099.990653333743,-117525.37459209951,-49.27625820781734,445.8523697529425,001035,2025,1,1,0.00874495,0.99106467,0.00019038505,1.0482576e-11
33,001036,2025,73.6399039008248,15824.0,1,-4946.199079199511,90.76800587324956,7705.541186040466,-1610.578965562292,-80636.58392927735,78.82107415295064,-58.450372615014615,001036,2025,1,1,0.00020039875,0.9992022,2.426966e-07,0.00059721473
34,001037,2025,102.733650582832,60112.0,1,-4844.542265637225,15.178395359198667,7705.541186040466,-1603.6241776707575,-80636.65955404946,2.612248453990333,-55.49693942447644,001037,2025,1,1,0.0004776749,0.9994166,1.8957535e-07,0.00010560936
35,001038,2025,102.733650582832,67320.0,1,-4872.954639332284,-37.29637747272852,7705.541186040466,-1541.9087076882315,-80636.65955404946,-49.2621990454521,-59.6801547073485,001038,2025,1,1,0.00057052035,0.99926025,2.437792e-05,0.00014484966
36,001039,2025,38.0055285141636,47310.0,1,-4791.497559472041,-36.83320434193492,-1739.834844519238,-1466.831760198008,-117526.93829423256,-49.401807766246336,-60.66927510318071,001039,2025,1,1,0.0011563272,0.9971482,0.0016702266,2.5215388e-05
37,001040,2025,38.0055285141636,22290.0,1,-4785.530616102416,203.4050227448775,-1739.834844519238,-1421.8718201098916,-117526.93829423256,190.84323057995772,-61.707931342816906,001040,2025,1,1,0.0010897798,0.9852601,0.013636364,1.3744475e-05
38,001041,2025,38.0055285141636,52920.0,1,-4744.524666853851,215.3653799873037,-1739.834844519238,-1361.1774052377746,-117526.93829423256,202.80308148914895,-61.68937683869015,001041,2025,1,1,0.0017901027,0.92276484,0.07544328,1.7782006e-06
39,001042,2025,346.325249141356,38493.0,1,-4670.391836883002,197.2532244491785,-1739.834844519238,-1260.202578930798,-117526.0656159894,184.8442210224192,-60.03241202776959,001042,2025,1,1,0.0046284683,0.9808163,0.014555257,1.8973422e-08
40,001043,2025,103.886384945535,735.0,1,-4645.008700867496,-38.47765856389095,-1739.834844519238,-1158.7177498466806,-117525.37459209951,-49.19237811173916,-61.72648584694365,001043,2025,1,1,0.0037300177,0.9946226,0.001647402,8.7723474e-11
41,001044,2025,218.252458288068,46368.0,1,-4839.167420436334,476.9448495071747,7705.541186040466,-1528.340485567409,-80637.41533852086,462.80483699877817,-58.03265296221017,001044,2025,1,1,0.0007823259,0.999134,2.7124783e-05,5.6585708e-05
42,001045,2025,73.6399039008248,10690.0,1,-4851.485406654936,13.324921361843415,7705.541186040466,-1628.6396457159003,-80636.58392927735,0.7382064361936429,-60.27736549804927,001045,2025,1,1,0.00032058722,0.9995553,2.3455888e-08,0.00012409367
43,001046,2025,241.924745865236,67712.0,1,-4779.699752699088,187.9491557333101,7705.541186040466,-1533.3827154280712,-80637.47660327761,174.89109898418172,-61.22322980141606,001046,2025,1,1,0.0012695425,0.99870586,9.219757e-06,1.5317124e-05
44,001047,2025,86.6346125592512,9408.0,1,-4806.991034029522,-24.41257461058216,7705.541186040466,-1492.6075284108117,-80637.28390929263,-37.26203484761071,-57.988179372665314,001047,2025,1,1,0.0009270925,0.99886036,0.00018715722,2.5397283e-05
