cluster,var_x,var_y,rho,p
0,2a5SalariosMinimos,cr_2_pct,0.23626040108697868,0.0
0,2a5SalariosMinimos,cr_3_pct,-0.019392743497029838,4.287916128668091e-31
0,2a5SalariosMinimos,cr_4_pct,-0.1878626758075808,0.0
0,2a5SalariosMinimos,cr_5_pct,,
0,2a5SalariosMinimos,densidade_hec,-0.03620327407472064,1.288770955594017e-103
0,30a39anos,40a49anos,0.9741049002120297,0.0
0,30a39anos,50a64anos,0.9516649876440479,0.0
0,30a39anos,5a10SalariosMinimos,0.9600888475752254,0.0
0,30a39anos,AreaConstruida,0.24941822378076112,0.0
0,30a39anos,AreaOcupada,0.011639945566360107,3.3998243123181927e-12
0,30a39anos,AreadaQuadra,-0.06275626054335738,9.339496862557283e-309
0,30a39anos,Ate2SalariosMinimos,0.6884621999928188,0.0
0,30a39anos,Brasileira,0.993193800807965,0.0
0,30a39anos,CA,0.19127064496345528,0.0
0,30a39anos,Caminhada,-0.10553297454786695,0.0
0,30a39anos,ComercioServicos,0.07564502018626516,0.0
0,30a39anos,ComercioServicos_pct,0.08517477210899438,0.0
0,30a39anos,ConcentracaoAreaVerde,,
0,30a39anos,ConcentracaoBOs,0.04991488518388182,5.729899512751796e-196
0,30a39anos,ConcentracaoIES,,
0,30a39anos,ConcentracaoPatrimonioHistorico,,
0,30a39anos,DeslocamentoBicicleta,0.06276397875423173,7.84803023154388e-309
0,30a39anos,DeslocamentoCaminhada,-0.14660391758932628,0.0
0,30a39anos,DeslocamentoTansporteColetivo,-0.004712017403710233,0.00484025822621118
0,30a39anos,DeslocamentoVeiculoIndividual,0.03514980631971485,3.98526906282073e-98
0,30a39anos,DestinoMotivoEducacao,-0.08520423604386929,0.0
0,30a39anos,DestinoMotivoOutros,0.1369320052960038,0.0
0,30a39anos,DestinoMotivoResidencia,-0.13910434557893916,0.0
0,30a39anos,DestinoMotivoTrabalhoComercioServico,0.14402700133839433,0.0
0,30a39anos,DestinoMotivotrabalhoindustria,0.04836750686735085,4.0466985201618463e-184
0,30a39anos,DistanciaAceleradoraIncubadora,-0.037517386184227924,1.578228653506097e-111
0,30a39anos,DistanciaAreasVerdes,0.0705573242269062,0.0
0,30a39anos,DistanciaPatrimonioHistorico,-0.1651497760267908,0.0
0,30a39anos,DistanciaStartup,-0.24653769210492257,0.0
